Title,Abstract
21st century daily seamless data cube reconstruction and seasonal to annual land cover and land use dynamics mapping-iMap (China) 1.0 [21世纪逐日无缝数据立方体构建方法及逐年逐季节土地覆盖和土地利用动态制图-中国智慧遥感制图iMap (China) 1.0],"Sustainable development goals such as food security, high-quality habitat construction, biodiversity conservation, planetary health, and the understanding, modeling, and management of the Earth system urgently require multi-scale, long time series, high-accuracy, and consistent remote sensing observation datasets and mapping products with flexible classification systems to meet user needs. However, due to technical and cost constraints, it is difficult for conventional remote sensing satellites to provide observations with high spatial resolution, high temporal frequency, and high quality at the same time. The existing mapping and inversion schemes are mostly for a single sensor, making it difficult to fully exploit and jointly utilize the information potential of multi-source heterogeneous remote sensing big data, resulting in limited observation periods and resolutions, low spatial and temporal consistency and comparability. Therefore, new technical paradigms are urgently needed in the field of remote sensing. In this paper, based on advanced technologies, including cloud computing, artificial intelligence, virtual constellation, spatio-temporal fusion reconstruction, an intelligent mapping framework is proposed for remote sensing big data. The framework is user-driven and problem-driven, which can significantly improve the current situation that remote sensing data products can hardly meet users' diversified and high-precision surface monitoring needs in agriculture and forestry management, national monitoring, ecological environment protection, disaster prevention and mitigation, urban planning, etc. Under this framework's guidance, we built an online real-time, automated, serverless, end-to-end remote sensing big data production chain and parallel mapping system based on Amazon Web Services (AWS) high-performance, elastic, and scalable distributed computing resources. We produced the first set of 21st century daily Seamless Data Cube (SDC) and seasonal to annual land cover and land use mapping products of China. Integrating Landsat and MODIS satellite as a virtual constellation, through multi-source spatio-temporal data fusion and reconstruction technology, the daily SDC, cloud-free, high-precision reflectance product, is developed. As Analysis Ready Data (ARD), it lays the foundation for high-precision quantitative remote sensing inversion and mapping. Based on SDC, we developed the seasonal to annual mapping product with multiple multi-level land cover and land use classification systems, whose mean annual accuracy exceeds 80%. The main mapping pipeline includes migrating the all-season sample set based on stable classification theory with limited samples, optimizing and ensembling multiple classifiers by Automatic Machine Learning (AutoML) strategies, and using change detection and post-processing techniques to achieve consistency. The two sets of products demonstrate the feasibility and effectiveness of the intelligent remote sensing mapping framework proposed in this paper. We will continue to improve and develop the framework with an open and flexible concept to provide new ideas to promote remote sensing development in China. © 2021, Science Press. All right reserved."
TableNN: Deep Learning Framework for Learning Domain Specific Tabular Data,"Enterprises often have a large number of databases and other sources of tabular data with columns full of domain-specific jargon (e.g. alpha-numeric codings, undeclared abbreviations, etc) which usually require domain experts to decode. Due to the jargon-specific content of the tables, no pre-trained language model such as Wiki2Vec [21] can be applied readily to encode the cell semantics due to absence of unique jorgan words or alpha-numeric codes in the model vocabulary. We propose a deep learning based framework that is ideally suited for serverless computing environment, and that 1) uses a new tokenization method, called Cell-Masking, 2) encodes the semantics of the cells into contextual embedding that exploits the locality features in tabular data, called Cell2Vec, and 3) an attention-based neural network, called TableNN, that provides a supervised learning solution to classify cell entries into predefined column classes. We apply the proposed method on three publicly available datasets of varying data sizes, from different industries. Cell-Masking provides an order of magnitude lower loss value and quickest convergence for cell embedding generation. In Cell2Vec, we demonstrate that the inclusion of row and column context improves the quality of embeddings by better loss curve convergence and improvement in accuracy by 5.4% on the BTS dataset [3]. © 2021 IEEE."
FedLess: Secure and Scalable Federated Learning Using Serverless Computing,"The traditional cloud-centric approach for Deep Learning (DL) requires training data to be collected and processed at a central server which is often challenging in privacy-sensitive domains like healthcare. Towards this, a new learning paradigm called Federated Learning (FL) has been proposed that brings the potential of DL to these domains while addressing privacy and data ownership issues. FL enables clients to learn a shared ML model while keeping the data local. However, conventional FL systems face challenges such as scalability, complex infrastructure management, and wasted compute and incurred costs due to idle clients. These challenges of FL systems closely align with the core problems that serverless computing and Function-as-a-Service (FaaS) platforms aim to solve. These include rapid scalability, no infrastructure management, automatic scaling to zero for idle clients, and a pay-per-use billing model. To this end, we present a novel system and framework for serverless FL, called FedLess. Our system supports multiple commercial and self-hosted FaaS providers and can be deployed in the cloud, on-premise in institutional data centers, and on edge devices. To the best of our knowledge, we are the first to enable FL across a large fabric of heterogeneous FaaS providers while providing important features like security and Differential Privacy. We demonstrate with comprehensive experiments that the successful training of DNNs for different tasks across up to 200 client functions and more is easily possible using our system. Furthermore, we demonstrate the practical viability of our methodology by comparing it against a traditional FL system and show that it can be cheaper and more resource-efficient. © 2021 IEEE."
FedSmarteum: Secure Federated Matrix Factorization Using Smart Contracts for Multi-Cloud Supply Chain,"With increased awareness comes unprecedented expectations. We live in a digital, cloud era wherein the underlying information architectures are expected to be elastic, secure, resilient, and handle petabyte scaling. The expectation of epic proportions from the next generation of the data frameworks is to not only do all of the above but also build it on a foundation of trust and explainability across multi-organization business networks. From cloud providers to automobile industries or even vaccine manufacturers, components are often sourced by a complex, not full digitized thread of disjoint suppliers. Building Machine Learning and AI-based order fulfillment and predictive models, remediating issues, is a challenge for multi-organization supply chain automation. We posit that Federated Learning in conjunction with blockchain and smart contracts are technologies primed to tackle data privacy and centralization challenges. In this paper, motivated by challenges in the industry, we propose a decentralized distributed system in conjunction with a recommendation system model (Matrix Factorization) that is trained using Federated Learning on an Ethereum blockchain network. We leverage smart contracts that allow decentralized serverless aggregation to update local-ized items vectors. Furthermore, we utilize Homomorphic Encryption (HE) to allow sharing the encrypted gradients over the network while maintaining their privacy. Based on our results, we argue that training a model over a serverless Blockchain network using smart contracts will provide the same accuracy as in a centralized model while maintaining our serverless model privacy and reducing the overhead communication to a central server. Finally, we assert such a system that provides transparency, audit-ready and deep insights into supply chain operations for enterprise cloud customers resulting in cost savings and higher Quality of Service (QoS). © 2021 IEEE."
Deployment and Management of Time Series Forecasts in Ocean Industry,"Machine learning has not achieved the same degree of success in environmental applications as in other industries. Challenges around data sparsity, quality, and consistency have limited the impact of deep neural network approaches and restricted the focus to research applications. An alternative approach - that is more amenable to the characteristics of data coming from disparate IoT devices deployed at different times and locations in the ocean - is to develop many lightweight models that can be readily scaled up or down based on the number of devices available at any time. This paper presents a serverless framework that naturally marries a single IoT sensor device with a forecasting model. Aspects related to data ingestion, data processing, model training and deployment are described. The framework is applied to a fish farm site in Atlantic Canada. © 2021 IEEE."
Cross-Platform Performance Evaluation of Stateful Serverless Workflows,"Serverless computing, with its inherent event-driven design along with instantaneous scalability due to cloud-provider managed infrastructure, is starting to become a de-facto model for deploying latency critical user-interactive services. However, as much as they are suitable for event-driven services, their stateless nature is a major impediment for deploying long-running stateful applications. While commercial cloud providers offer a variety of solutions that club serverless functions along with intermediate storage to maintain application state, they are still far from optimized for deploying stateful applications at scale. More specifically, factors such as storage latency and scalability, network bandwidth, and deployment costs play a crucial role in determining whether current serverless applications are suitable for stateful workloads. In this paper, we evaluate the two widely-used stateful server-less offerings, Azure Durable functions and AWS Step functions, to quantify their effectiveness for implementing complex stateful workflows. We conduct a detailed measurement-driven characterization study with two real-world use cases, machine learning pipelines (inference and training) and video analytics, in order to characterize the different performance latency and cost tradeoffs. We observe from our experiments that AWS is suitable for workloads with higher degree of parallelism, while Azure durable entities offer a simplified framework that enables quicker application development. Overall, AWS is 89% more expensive than Azure for machine learning training application while Azure is 2× faster than AWS for the machine learning inference application. Our results indicate that Azure durable is extremely inefficient in implementing parallel processing. Furthermore, we summarize the key findings from our characterization, which we believe to be insightful for any cloud tenant who has the problem of choosing an appropriate cloud vendor and offering, when deploving stateful workloads on serverless platforms, © 2021 IEEE."
FaaSRank: Learning to Schedule Functions in Serverless Platforms,"Current serverless Function-as-a-Service (FaaS) platforms generally use simple, classic scheduling algorithms for distributing function invocations while ignoring FaaS characteristics such as rapid changes in resource utilization and the freeze-thaw life cycle. In this paper, we present FaaSRank, a function scheduler for serverless FaaS platforms based on information monitored from servers and functions. FaaSRank automatically learns scheduling policies through experience using reinforcement learning (RL) and neural networks supported by our novel Score-Rank-Select architecture. We implemented FaaSRank in Apache OpenWhisk, an open source FaaS platform, and evaluated performance against other baseline schedulers including OpenWhisk's default scheduler on two 13-node OpenWhisk clusters. For training and evaluation, we adapted real-world serverless workload traces provided by Microsoft Azure. For the duration of test workloads, FaaSRank sustained on average a lower number of inflight invocations 59.62 % and 70.43 % as measured on two clusters respectively. We also demonstrate the generalizability of FaaSRank for any workload. When trained using a composite of 50 episodes each for 10 distinct random workloads, FaaSRank reduced average function completion time by 23.05% compared to OpenWhisk's default scheduler. © 2021 IEEE."
"2021 ITU Kaleidoscope: Connecting Physical and Virtual Worlds, ITU K 2021","The proceedings contain 25 papers. The topics discussed include: deviceless: a serverless approach for the Internet of things; exploring the essence of communication to reach the heart; the adoption gap: ethics, citizenship, institutional factors, and standards for smart cities; strengthen the security of cyberspace with device-independent quantum randomness; optimal pilot sequence design for machine learning based channel estimation in FDD massive MIMO systems; optimizing packet transmission for ledger-based points transfer system in LPWAN: solutions, evaluation and standardization; enhancing the system model for home interior design using augmented reality; and future industrial networks: requirements, challenges, research and standardization needs."
Introduction to Digital Libraries,"This tutorial is a thorough and deep introduction to the Digital Libraries (DL) field, providing a firm foundation: covering key concepts and terminology, as well as services, systems, technologies, methods, standards, projects, issues, and practices. It introduces and builds upon a firm theoretical foundation (starting with the '5S' set of intuitive aspects: Streams, Structures, Spaces, Scenarios, Societies), giving careful definitions and explanations of all the key parts of a 'minimal digital library', and expanding from that basis to cover key DL issues. Illustrations come from a set of case studies, including from multiple current projects, including with the application of natural language processing and machine learning to webpages, tweets, and long documents. Attendees will be exposed to four Morgan and Claypool books that elaborate on 5S. Further, new material will be added on building digital libraries using container and cloud services, on developing a digital library for electronic theses and dissertations, and methods to integrate UX and DL design approaches. © 2021 IEEE."
WidePipe: High-Throughput Deep Learning Inference System on a Cluster of Neural Processing Units,"The wide application of machine learning technology promotes the generation of ML-as-a-Service(MLaaS), which is a serverless computing paradigm for rapidly deploying a trained model as a serving. However, it is a challenge to design an inference system that is capable of coping with large traffic for low latency and heterogeneous neural networks. It is difficult to adaptively configure multilevel parallelism in existing cloud inference systems for machine learning servings, particularly if the cluster has accelerators, such as GPUs, NPUs, FPGAs, etc. These issues lead to poor resource utilization and limit the system throughput. In this paper, we propose and implement a high-throughput inference system called WidePipe, which WidePipe leverages reinforcement learning to co-adapt resource allocation and batch size of request according to device status. We evaluated the performance of WidePipe for a large cluster with 1000 neural processing units in 250 nodes. Our experimental results show that WidePipe has a 2.11× higher throughput than current inference systems when deploying heterogeneous machine learning servings, meeting the service-level objectives for the response time. © 2021 IEEE."
Quantifying and Improving Performance of Distributed Deep Learning with Cloud Storage,"Cloud computing provides a powerful yet low-cost environment for distributed deep learning workloads. However, training complex deep learning models often requires accessing large amounts of data, which can easily exceed the capacity of local disks. Prior research often overlooks this training data problem by implicitly assuming that data is available locally or via low latency network-based data storage. Such implicit assumptions often do not hold in a cloud-based training environment, where deep learning practitioners create and tear down dedicated GPU clusters on demand, or do not have the luxury of local storage, such as in serverless workloads. In this work, we investigate the performance of distributed training that leverages training data residing entirely inside cloud storage buckets. These buckets promise low storage costs, but come with inherent bandwidth limitations that make them seem unsuitable for an efficient training solution. To account for these bandwidth limitations, we propose the use of two classical techniques, namely caching and pre-fetching, to mitigate the training performance degradation. We implement a prototype, DELI, based on the popular deep learning framework PyTorch by building on its data loading abstractions. We then evaluate the training performance of two deep learning workloads using Google Cloud's NVIDIA K80 GPU servers and show that we can reduce the time that the training loop is waiting for data by 85.6%-93.5% compared to loading directly from a storage bucket-thus achieving comparable performance to loading data directly from disk-while only storing a fraction of the data locally at a time. In addition, DELI has the potential of lowering the cost of running a training workload, especially on models with long per-epoch training times. © 2021 IEEE."
Research on Parallel Support Vector Machine Based on Spark Big Data Platform,"With the development of cloud computing and distributed cluster technology, the concept of big data has been expanded and extended in terms of capacity and value, and machine learning technology has also received unprecedented attention in recent years. Traditional machine learning algorithms cannot solve the problem of effective parallelization, so a parallelization support vector machine based on Spark big data platform is proposed. Firstly, the big data platform is designed with Lambda architecture, which is divided into three layers: Batch Layer, Serving Layer, and Speed Layer. Secondly, in order to improve the training efficiency of support vector machines on large-scale data, when merging two support vector machines, the ""special points""other than support vectors are considered, that is, the points where the nonsupport vectors in one subset violate the training results of the other subset, and a cross-validation merging algorithm is proposed. Then, a parallelized support vector machine based on cross-validation is proposed, and the parallelization process of the support vector machine is realized on the Spark platform. Finally, experiments on different datasets verify the effectiveness and stability of the proposed method. Experimental results show that the proposed parallelized support vector machine has outstanding performance in speed-up ratio, training time, and prediction accuracy. © 2021 Yao Huimin."
Reputation-aware Hedonic Coalition Formation for Efficient Serverless Hierarchical Federated Learning,"Amid growing concerns on data privacy, Federated Learning (FL) has emerged as a promising privacy preserving distributed machine learning paradigm. Given that the FL network is expected to be implemented at scale, several studies have proposed system architectures towards improving the network scalability and efficiency. Specifically, the Hierarchical FL (HFL) network utilizes cluster heads, e.g., base stations, for the intermediate aggregation and relay of model parameters. Serverless FL is also proposed recently, in which the data owners, i.e., workers, exchange the local model parameters among a neighborhood of workers. This decentralized approach reduces the risk of a single point of failure but inevitably incurs significant communication overheads. To achieve the best of both worlds, we propose the Serverless Hierarchical Federated Learning (SHFL) framework in this paper. The SHFL framework adopts a two-layer system architecture. In the lower layer, the FL workers are grouped into clusters under cluster heads. In the upper layer, the cluster heads exchange the intermediate parameters with their one-hop neighbors without the aid of a central server. To improve the sustainable efficiency of the FL system while taking into account the incentive design for workers marginal contributions in the system, we propose the reputation-aware hedonic coalition formation game in this paper. Specifically, the workers are rewarded for their marginal contribution to the cluster, whereas the reputation opinions of each cluster head is updated in a decentralized manner, thereby deterring malicious behaviors by the cluster head. This improves the performance of the network since cluster heads with higher reputation scores are more reliable in relaying the intermediate model parameters. The simulation results show that our proposed hedonic coalition formation algorithm converges to a Nash-stable partition and improves the network efficiency. IEEE"
Toward Sustainable Serverless Computing,"Although serverless computing generally involves executing short-lived functions, the increasing migration to this computing paradigm requires careful consideration of energy and power requirements. serverless computing is also viewed as an economically-driven computational approach, often influenced by the cost of computation, as users are charged for per-subsecond use of computational resources rather than the coarse-grained charging that is common with virtual machines and containers. To ensure that the startup times of serverless functions do not discourage their use, resource providers need to keep these functions hot, often by passing in synthetic data. We describe the real power consumption characteristics of serverless, based on execution traces reported in the literature, and describe potential strategies (some adopted from existing VM and container-based approaches) that can be used to reduce the energy overheads of serverless execution. Our analysis is, purposefully, biased toward the use of machine learning workloads because: (1) workloads are increasingly being used widely across different applications; (2) functions that implement machine learning algorithms can range in complexity from long-running (deep learning) versus short-running (inference only), enabling us to consider serverless across a variety of possible execution behaviors. The general findings are easily translatable to other domains. © 1997-2012 IEEE."
A serverless gateway for event-driven machine learning inference in multiple clouds,"Serverless computing and, in particular, the functions as a service model has become a convincing paradigm for the development and implementation of highly scalable applications in the cloud. This is due to the transparent management of three key functionalities: triggering of functions due to events, automatic provisioning and scalability of resources, and fine-grained pay-per-use. This article presents a serverless web-based scientific gateway to execute the inference phase of previously trained machine learning and artificial intelligence models. The execution of the models is performed both in Amazon Web Services and in on-premises clouds with the OSCAR framework for serverless scientific computing. In both cases, the computing infrastructure grows elastically according to the demand adopting scale-to-zero approaches to minimize costs. The web interface provides an improved user experience by simplifying the use of the models. The usage of machine learning in a computing platform that can use both on-premises clouds and public clouds constitutes a step forward in the adoption of serverless computing for scientific applications. © 2021 John Wiley & Sons, Ltd."
"International Conference on Applied Soft Computing and Communication Networks, ACN 2020","The proceedings contain 22 papers. The special focus in this conference is on Applied Soft Computing and Communication Networks. The topics include: Secure multimodal biometric recognition in principal component subspace; modelling video frames for object extraction using spatial correlation; algebraic modelling of a generic fog scenario for moving iot devices; p2p bot detection based on host behavior and big data technology; cloudsim exploration: A knowledge framework for cloud computing researchers; a comprehensive survey on big data technology based cybersecurity analytics systems; distributed denial of service (Ddos) attacks detection: A machine learning approach; an asynchronous leader-based neighbor discovery protocol in static wireless ad hoc networks; two-dimensional angle of arrival estimation using l-shaped array; preface; speech-based selective labeling of objects in an inventory setting; eeg-based emotion recognition and its interface with augmented reality; serverless deployment of a voice-bot for visually impaired; a novel approach to preserve drm for content distribution over p2p networks; icrest: International cross-reference to exchange-based stock trend prediction using long short-term memory; profile verification using blockchain; interference management technique for lte, wi-fi coexistence based on csi at the transmitter; localization in wireless sensor networks using a mobile anchor and subordinate nodes; intrusion detection using deep neural network with antirectifier layer; classification and evaluation of goal-oriented requirements analysis methods."
Query-driven video event processing for the internet multimedia things,"Advances in Deep Neural Network (DNN) techniques have revolutionized video analytics and unlocked the potential for querying and mining video event patterns. This paper details GNOSIS, an event processing platform to perform near-real-time video event detection in a distributed setting. GNOSIS follows a serverless approach where its component acts as independent microservices and can be deployed at multiple nodes. GNOSIS uses a declarative query-driven approach where users can write customize queries for spatiotemporal video event reasoning. The system converts the incoming video streams into a continuous evolving graph stream using machine learning (ML) and DNN models pipeline and applies graph matching for video event pattern detection. GNOSIS can perform both stateful and stateless video event matching. To improve Quality of Service (QoS), recent work in GNOSIS incorporates optimization techniques like adaptive scheduling, energy efficiency, and content-driven windows. This paper demonstrates the Occupational Health and Safety query use cases to show the GNOSIS efficacy. © The authors."
"International Conference on High Performance Computing, ISC High Performance 2021","The proceedings contain 35 papers. The special focus in this conference is on High Performance Computing. The topics include: H3: An Application-Level, Low-Overhead Object Store; Automatic Partitioning of MPI Operations in MPI+OpenMP Applications; heimdallr: Improving Compile Time Correctness Checking for Message Passing with Rust; potential of Interpreter Specialization for Data Analysis; refactoring for Performance with Semantic Patching: Case Study with Recipes; Negative Perceptions About the Applicability of Source-to-Source Compilers in HPC: A Literature Review; Automatic Tuning of Tensorflow’s CPU Backend Using Gradient-Free Optimization Algorithms; MSM: Multi-stage Multicuts for Scalable Image Clustering; OmniOpt – A Tool for Hyperparameter Optimization on HPC; Novel DNNs for Stiff ODEs with Applications to Chemically Reacting Flows; parallel/Distributed Intelligent Hyperparameters Search for Generative Artificial Neural Networks; machine Learning for Generic Energy Models of High Performance Computing Resources; Automation for Data-Driven Research with the NERSC Superfacility API; a Middleware Supporting Data Movement in Complex and Software-Defined Storage and Memory Architectures; an Operational Data Collecting and Monitoring Platform for Fugaku: System Overviews and Case Studies in the Prelaunch Service Period; An Explainable Model for Fault Detection in HPC Systems; a Scalable Cloud Deployment Architecture for High-Performance Real-Time Online Applications; Leveraging HW Approximation for Exploiting Performance-Energy Trade-offs Within the Edge-Cloud Computing Continuum; datashim and Its Applications in Bioinformatics; faaS and Curious: Performance Implications of Serverless Functions on Edge Computing Platforms; lettuce: PyTorch-Based Lattice Boltzmann Framework; Differentiated Performance in NoSQL Database Access for Hybrid Cloud-HPC Workloads; JUWELS Booster – A Supercomputer for Large-Scale AI Research."
Proceedings - SEKE 2021: 33rd International Conference on Software Engineering and Knowledge Engineering,The proceedings contain 114 papers. The topics discussed include: ArchiNet: a concept-token based approach for determining architectural change categories; analyzing open-source serverless platforms: characteristics and performance; HHML: a hierarchical hybrid modeling language for mode-based periodic controllers; patterns for reuse in production systems engineering; software design pattern analysis for micro-service architecture using queuing networks; multiclass classification of four types of UML diagrams from images using deep learning; on integrating ethicality in user stories; a collaborative forensic framework for detecting advanced persistent threats; an empirical study on the impact of class overlapin just-in-time software defect prediction; FSSRE: fusing semantic feature and syntactic dependencies feature for threat intelligence relation extraction; and AAMR: automated anomalous microservice ranking in cloud-native environment.
"Dorylus: Affordable, scalable, and accurate GNN training with distributed CPU servers and serverless threads","A graph neural network (GNN) enables deep learning on structured graph data. There are two major GNN training obstacles: 1) it relies on high-end servers with many GPUs which are expensive to purchase and maintain, and 2) limited memory on GPUs cannot scale to today’s billion-edge graphs. This paper presents Dorylus: a distributed system for training GNNs. Uniquely, Dorylus can take advantage of serverless computing to increase scalability at a low cost. The key insight guiding our design is computation separation. Computation separation makes it possible to construct a deep, bounded-asynchronous pipeline where graph and tensor parallel tasks can fully overlap, effectively hiding the network latency incurred by Lambdas. With the help of thousands of Lambda threads, Dorylus scales GNN training to billion-edge graphs. Currently, for large graphs, CPU servers offer the best performance per dollar over GPU servers. Just using Lambdas on top of Dorylus offers up to 2.75× more performance-per-dollar than CPU-only servers. Concretely, Dorylus is 1.22× faster and 4.83× cheaper than GPU servers for massive sparse graphs. Dorylus is up to 3.8× faster and 10.7× cheaper compared to existing sampling-based systems. © 2021 by The USENIX Association. All rights reserved."
"4th International Conference on Smart Computing and Informatics, SCI 2020",The proceedings contain 82 papers. The special focus in this conference is on Smart Computing and Informatics. The topics include: Log-Based Authentication for Cloud Environments; development of a Wireless Sensor Node for Electrical Power Distribution Monitoring System; CommonKADS and Ontology Reasoner: Bulky-Baggage Case Study; accelerated Sorting of Apples Based on Machine Learning; execution of Smart Contacts Concurrently Using Fine-Grain Locking and Asynchronous Functions; artificial Intelligence-Based Automatic Evaluation Engine; SmartRPL: Secure RPL Routing Protocol for Internet of Things Using Smart Contracts; customized Music Classification and Recommendation System Based on Classifiers of Neural Networks and Sensor Embedded on Smart Devices; recognizing the Faces from Surveillance Video; localization of Optic Cup-Disc in Retinal Images Using Morphological Filters for Glaucoma Detection; Region Labeling Based Brain Tumor Segmentation from MR Images; a Comparative Evaluation of Decomposition Methods Based on Pitch Estimation of Piano Notes; Application of Bat Optimization Algorithm for Power System Loss Reduction Using DSSSC; preface; pad Vending Machine with Cashless Payment; malaria Cell Detection Model; design and Analysis of Fractal Monopole Antennas for Multiband Wireless Applications; fake News Detection Using Text Analytics; an Extreme Learning Machine-Based Model for Cryptocurrencies Prediction; an Ensemble Approach for Intrusion Detection in Collaborative Attack Environment; a Decision Based Asymmetrically Trimmed Modified Geometric Mean Algorithm for the Removal of High Density Salt and Pepper Noise in Images and Videos; anti-poaching System Using Wireless Sensor Networking; performance Issues and Monitoring Mechanisms for Serverless IoT Applications—An Exploratory Study; detection of Pemphigus Vulgaris in Development Stage of Skin Erosion; fingerprint Genuinity Classification.
A Cloud-Based Computing Framework for Artificial Intelligence Innovation in Support of Multidomain Operations,"The DoD&#x2019;s artificial intelligence (AI) strategy requires the delivery of transformative and disruptive capabilities that impact the &#x201C;character of the future battlefield and the pace of threats&#x201D; that US forces must be prepared to handle. Candidate frameworks must also address key mission areas while enabling partnerships with the private sector, academia, and global allies. To meet these challenges, a flexible, cost-effective, and scalable computing infrastructure that incorporates cutting edge technologies and complies with stringent information assurance requirements is necessary. The DoD AI strategy mandates the agile employment of innovative AI capabilities that &#x201C;rapidly and iteratively&#x201D; execute experimentation with new operating concepts, and leverage lessons learned in subsequent experiments. Using cloud computing, we present a flexible approach to solve complex systems problems. Promoting &#x201C;rapid experimentation&#x201D; and collaboration on problems such as recursive algorithm implementation, deep learning, and inference in neural networks has enabled inherent advantages over existing computing frameworks. Leveraging the cloud to implement shared responsibility security models, serverless architectures, and high-performance virtual machines, aspects of the AI lifecycle including build, deploy, and monitor have resulted in an adaptable and scalable computing framework that is not only disruptive to the current computing paradigm but also promotes enhanced and productive collaboration. USGov"
"4th International Conference on Smart Computing and Informatics, SCI 2020",The proceedings contain 82 papers. The special focus in this conference is on Smart Computing and Informatics. The topics include: Log-Based Authentication for Cloud Environments; development of a Wireless Sensor Node for Electrical Power Distribution Monitoring System; CommonKADS and Ontology Reasoner: Bulky-Baggage Case Study; accelerated Sorting of Apples Based on Machine Learning; execution of Smart Contacts Concurrently Using Fine-Grain Locking and Asynchronous Functions; artificial Intelligence-Based Automatic Evaluation Engine; SmartRPL: Secure RPL Routing Protocol for Internet of Things Using Smart Contracts; customized Music Classification and Recommendation System Based on Classifiers of Neural Networks and Sensor Embedded on Smart Devices; recognizing the Faces from Surveillance Video; localization of Optic Cup-Disc in Retinal Images Using Morphological Filters for Glaucoma Detection; Region Labeling Based Brain Tumor Segmentation from MR Images; a Comparative Evaluation of Decomposition Methods Based on Pitch Estimation of Piano Notes; Application of Bat Optimization Algorithm for Power System Loss Reduction Using DSSSC; preface; pad Vending Machine with Cashless Payment; malaria Cell Detection Model; design and Analysis of Fractal Monopole Antennas for Multiband Wireless Applications; fake News Detection Using Text Analytics; an Extreme Learning Machine-Based Model for Cryptocurrencies Prediction; an Ensemble Approach for Intrusion Detection in Collaborative Attack Environment; a Decision Based Asymmetrically Trimmed Modified Geometric Mean Algorithm for the Removal of High Density Salt and Pepper Noise in Images and Videos; anti-poaching System Using Wireless Sensor Networking; performance Issues and Monitoring Mechanisms for Serverless IoT Applications—An Exploratory Study; detection of Pemphigus Vulgaris in Development Stage of Skin Erosion; fingerprint Genuinity Classification.
1st EAGE Digital Subsurface Conference in Latin America,"The proceedings contain 13 papers. The topics discussed include: advanced interpretation of wireline data with machine learning using multiple models, augmented learning population and geology; accelerating E&P decisions by applying artificial intelligence and big data analytics to unstructured data; object-oriented optimization for small- and large-scale seismic inversion procedures; FWI performance improvement with the use of wavelet transforms; enhancing lithology classification with the help of AI: a machine learning approach; the benefits and applications of cloud computing in energy technology solutions; time series clustering, sequence stratigraphy, and ensemble machine learning for shear velocity prediction in conventional reservoirs; and going serverless: geostatistical inversion on AWS."
Towards Demystifying Serverless Machine Learning Training,"The appeal of serverless (FaaS) has triggered a growing interest on how to use it in data-intensive applications such as ETL, query processing, or machine learning (ML). Several systems exist for training large-scale ML models on top of serverless infrastructures (e.g., AWS Lambda) but with inconclusive results in terms of their performance and relative advantage over ""serverful""infrastructures (IaaS). In this paper we present a systematic, comparative study of distributed ML training over FaaS and IaaS. We present a design space covering design choices such as optimization algorithms and synchronization protocols, and implement a platform, LambdaML, that enables a fair comparison between FaaS and IaaS. We present experimental results using LambdaML, and further develop an analytic model to capture cost/performance tradeoffs that must be considered when opting for a serverless infrastructure. Our results indicate that ML training pays off in serverless only for models with efficient (i.e., reduced) communication and that quickly converge. In general, FaaS can be much faster but it is never significantly cheaper than IaaS. © 2021 ACM."
DevOps and Quality Management in Serverless Computing: The RADON Approach,"The onset of microservices and serverless computer solutions has forced an ever-increasing demand for tools and techniques to establish and maintain the quality of infrastructure code, the blueprint that drives the operationalization of large-scale software systems. In the EU H2020 project RADON, we propose a machine-learning approach to elaborate and evolve Infrastructure-as-Code as part of a full-fledged industrial-strength DevOps pipeline. This paper illustrates RADON and shows our research roadmap. © 2021, Springer Nature Switzerland AG."
